name,league,position,minutes_played,goals,assists,expected_goals,goals_per90,assists_per90,goals_minus_xg
Samuele Inacio,Bundesliga,M,15,0,0,0.0616,0.0,0.0,-0.0616
Ramy Bensebaini,Bundesliga,D,1166,2,0,1.0583,0.15437392795883362,0.0,0.9417
Nico Schlotterbeck,Bundesliga,D,1710,4,1,2.958,0.2105263157894737,0.052631578947368425,1.0419999999999998
Emre Can,Bundesliga,D,621,3,0,2.4487,0.43478260869565216,0.0,0.5512999999999999
Niklas Süle,Bundesliga,D,443,0,1,0.0337,0.0,0.20316027088036115,-0.0337
Julian Ryerson,Bundesliga,D,1485,0,11,0.5691,0.0,0.6666666666666667,-0.5691
Filippo Mané,Bundesliga,D,132,0,0,,0.0,0.0,
Waldemar Anton,Bundesliga,D,2070,2,0,1.3974,0.08695652173913043,0.0,0.6026
Luca Reggiani,Bundesliga,D,110,0,0,0.0146,0.0,0.0,-0.0146
Gregor Kobel,Bundesliga,G,2250,0,0,,0.0,0.0,
Andrej Kramarić,Bundesliga,F,1587,10,5,7.9868,0.5671077504725898,0.2835538752362949,2.0132000000000003
Fisnik Asllani,Bundesliga,F,1700,8,5,6.4313,0.4235294117647058,0.2647058823529412,1.5686999999999998
Adam Hložek,Bundesliga,F,21,0,0,0.09,0.0,0.0,-0.09
Max Moerstedt,Bundesliga,F,355,2,0,0.7511,0.5070422535211268,0.0,1.2489
Tim Lemperle,Bundesliga,F,1320,7,2,6.1204,0.4772727272727273,0.13636363636363635,0.8795999999999999
Ihlas Bebou,Bundesliga,F,193,0,0,0.5374,0.0,0.0,-0.5374
Yannick Eduardo,Bundesliga,F,1,0,0,,0.0,0.0,
Bazoumana Touré,Bundesliga,M,1618,2,6,3.0439,0.11124845488257107,0.33374536464771326,-1.0438999999999998
Cole Campbell,Bundesliga,M,24,0,0,0.1163,0.0,0.0,-0.1163
Leon Avdullahu,Bundesliga,M,2190,0,1,0.547,0.0,0.0410958904109589,-0.547
Wouter Burger,Bundesliga,M,1751,4,5,2.6025,0.20559680182752713,0.2569960022844089,1.3975
Alexander Prass,Bundesliga,M,952,3,2,1.1336,0.28361344537815125,0.18907563025210083,1.8664
Muhammed Damar,Bundesliga,M,286,0,0,0.9968,0.0,0.0,-0.9968
Grischa Prömel,Bundesliga,M,1371,6,2,4.2615,0.3938730853391685,0.13129102844638948,1.7385000000000002
Luka Duric,Bundesliga,M,9,0,0,,0.0,0.0,
Ozan Kabak,Bundesliga,D,953,4,0,2.8621,0.3777544596012592,0.0,1.1379000000000001
Vladimír Coufal,Bundesliga,D,2237,1,6,0.6371,0.04023245417970496,0.2413947250782298,0.3629
Koki Machida,Bundesliga,D,44,0,0,,0.0,0.0,
Albian Hajdari,Bundesliga,D,1812,1,1,1.5232,0.04966887417218543,0.04966887417218543,-0.5232000000000001
Bernardo,Bundesliga,D,1686,0,0,0.2308,0.0,0.0,-0.2308
Kevin Akpoguma,Bundesliga,D,42,0,0,,0.0,0.0,
Robin Hranáč,Bundesliga,D,1944,0,0,1.8655,0.0,0.0,-1.8655
Valentin Gendrey,Bundesliga,D,69,1,1,0.2803,1.3043478260869565,1.3043478260869565,0.7197
Oliver Baumann,Bundesliga,G,2250,0,0,,0.0,0.0,
Deniz Undav,Bundesliga,F,1556,15,4,11.1361,0.8676092544987146,0.2313624678663239,3.8638999999999992
Ermedin Demirović,Bundesliga,F,1090,8,2,4.8063,0.6605504587155964,0.1651376146788991,3.1936999999999998
Jeremy Arevalo,Bundesliga,F,45,0,1,0.1291,0.0,2.0,-0.1291
